date,ticker,name,parent,type,list_date,sector,industry,ref_price,ref_basis,price,high52,pct_vs_ref,pct_vs_high52,flags
2026-08-17,VSNT,Versant Media Group,Comcast (CMCSA),spinoff,2026-01-05,Communication Services,Entertainment,45.65,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
2026-08-17,RNA,Atrium Therapeutics,Avidity Bio,spinoff,2026-02-26,Healthcare,Biotechnology,14.75,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
2026-08-17,MMED,MiniMed Group,Medtronic (MDT),ipo,2026-03-06,Healthcare,Medical Instruments & Supplies,20.00,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
2026-08-17,PAYP,PayPay Corporation,SoftBank (SBG),ipo,2026-03-12,Technology,Software—Infrastructure,16.00,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
2026-08-17,VGNT,Versigent PLC,Aptiv (APTV),spinoff,2026-04-01,Consumer Cyclical,Auto Parts,30.20,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
2026-08-17,TRAX,First Tracks Bio,AnaptysBio (ANAB),spinoff,2026-04-20,Healthcare,Biotechnology,19.00,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
2026-08-17,OCTV,Octave Intelligence,Hexagon AB,spinoff,2026-05-28,Technology,Software—Application,21.96,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
2026-08-17,FDXF,FedEx Freight,FedEx (FDX),spinoff,2026-06-01,Industrials,Integrated Freight & Logistics,151.00,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
2026-08-17,NVRI,Enviri Corporation,Envivio Inc (ENVI),spinoff,2026-06-01,Industrials,Waste Management,11.63,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
2026-08-17,QNT,Quantinuum,Honeywell (HON),ipo,2026-06-04,Technology,Software—Application,60.00,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
2026-08-17,HONA,Honeywell Aerospace,Honeywell (HON),spinoff,2026-06-29,Industrials,Aerospace & Defense,200.00,,,,,,NO DATA (y1:HTTPError 429 / y2:HTTPError 429 / stooq:ValueEr
